unmatched_class,candidate_대표식품명,similarity_score
콩자반,콩조림(콩자반),90.0
콩자반,콩밥,60.00000000000001
콩자반,피자,45.0
콩자반,콩비지찌개,45.0
콩자반,감자,45.0
편육,육개장,60.00000000000001
편육,탕수육,60.00000000000001
편육,기피편,60.00000000000001
편육,모싯잎송편,60.00000000000001
편육,동파육,60.00000000000001
한과,과ㆍ채주스,60.00000000000001
한과,매작과,60.00000000000001
한과,과일샐러드,60.00000000000001
한과,과일,50.0
한과,견과,50.0
후라이드치킨,라볶이,60.00000000000001
후라이드치킨,에이드,60.00000000000001
후라이드치킨,치킨가스,60.00000000000001
후라이드치킨,달걀후라이,54.54545454545454
후라이드치킨,달걀부침(달걀후라이),54.0
