식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
피자_불고기 피자 (M),피자,해당없음,220,,12.77,,,4.2,,,,399.0,,,,,3.38,
피자_불고기피자 (R),피자,해당없음,235,,11.61,,,6.22,,,,291.0,,,,,1.47,
피자_불고기 피자 (R),피자,해당없음,232,,10.14,,,1.3,,,,348.0,,,,,3.62,
피자_불고기 피자 (XL),피자,해당없음,243,,17.2,,,3.33,,,,433.0,,,,,2.42,
피자_불고기 피자 고구마크러스트 (L),피자,해당없음,237,,12.7,,,3.97,,,,337.0,,,,,3.73,
피자_불고기 피자 고구마크러스트 (R),피자,해당없음,238,,12.5,,,4.17,,,,331.0,,,,,3.54,
피자_불고기 피자 골드스윗 (G),피자,해당없음,280,,13.94,,,4.24,,,,422.0,,,,,7.27,
피자_불고기 피자 골드스윗 (L),피자,해당없음,281,,14.02,,,3.74,,,,422.0,,,,,7.48,
피자_불고기 피자 골드스윗 (R),피자,해당없음,281,,13.84,,,4.4,,,,419.0,,,,,6.92,
피자_불고기 피자 리코타링 (G),피자,해당없음,283,,14.09,,,3.36,,,,470.0,,,,,7.38,
피자_불고기 피자 리코타링 (L),피자,해당없음,283,,14.66,,,3.66,,,,473.0,,,,,7.33,
피자_불고기 피자 리코타링 (R),피자,해당없음,283,,14.69,,,4.2,,,,475.0,,,,,6.99,
피자_불고기 피자 밀스크린 (L),피자,해당없음,247,,14.68,,,2.75,,,,432.0,,,,,3.94,
피자_불고기 피자 밀스크린 (R),피자,해당없음,240,,14.29,,,2.6,,,,416.0,,,,,4.03,
피자_불고기 피자 밀스크린고구마크러스트 (L),피자,해당없음,241,,13.22,,,4.13,,,,399.0,,,,,3.64,
피자_불고기 피자 밀스크린고구마크러스트 (R),피자,해당없음,236,,12.79,,,4.65,,,,384.0,,,,,3.72,
피자_불고기 피자 밀스크린체다크림크러스트 (L),피자,해당없음,243,,13.11,,,4.1,,,,475.0,,,,,3.85,
피자_불고기 피자 밀스크린체다크림크러스트 (R),피자,해당없음,237,,12.64,,,4.6,,,,468.0,,,,,3.91,
피자_불고기 피자 밀스크린치즈크러스트 (L),피자,해당없음,238,,14.05,,,2.48,,,,439.0,,,,,3.8,
피자_불고기 피자 밀스크린치즈크러스트 (R),피자,해당없음,231,,13.64,,,2.27,,,,430.0,,,,,3.75,
피자_불고기 피자 바이트 (L),피자,해당없음,245,,10.46,,,4.57,,,,621.0,,,,,3.52,
피자_불고기 피자 백미스크린 (L),피자,해당없음,241,,14.29,,,4.76,,,,419.0,,,,,4.0,
피자_불고기 피자 백미스크린 (R),피자,해당없음,235,,13.51,,,5.41,,,,405.0,,,,,4.05,
피자_불고기 피자 백미스크린치즈크러스트 (L),피자,해당없음,232,,14.53,,,5.13,,,,427.0,,,,,3.85,
피자_불고기 피자 백미스크린치즈크러스트 (R),피자,해당없음,223,,13.95,,,4.65,,,,415.0,,,,,3.84,
피자_불고기 피자 석쇠 (G),피자,해당없음,278,,14.5,,,3.05,,,,441.0,,,,,6.11,
피자_불고기 피자 석쇠 (L),피자,해당없음,278,,15.06,,,3.01,,,,442.0,,,,,6.02,
피자_불고기 피자 석쇠 (R),피자,해당없음,278,,14.63,,,3.25,,,,441.0,,,,,5.69,
피자_불고기 피자 씬 (L),피자,해당없음,247,,16.05,,,2.47,,,,331.0,,,,,6.54,
피자_불고기 피자 씬 (R),피자,해당없음,248,,15.0,,,1.67,,,,320.0,,,,,6.33,
피자_불고기 피자 씬도우 (L),피자,해당없음,287,,13.99,,,3.5,,,,407.0,,,,,6.99,
피자_불고기 피자 씬도우 (R),피자,해당없음,300,,14.0,,,3.0,,,,433.0,,,,,8.0,
피자_불고기 피자 오리진 (L),피자,해당없음,259,,11.15,,,5.83,,,,435.0,,,,,2.33,
피자_불고기 피자 오리진 (R),피자,해당없음,257,,12.98,,,4.58,,,,497.0,,,,,3.82,
피자_불고기 피자 체다크림크러스트 (L),피자,해당없음,240,,13.49,,,4.76,,,,413.0,,,,,3.89,
피자_불고기 피자 체다크림크러스트 (R),피자,해당없음,239,,13.4,,,4.12,,,,407.0,,,,,3.71,
피자_불고기 피자 치즈링 (G),피자,해당없음,273,,15.69,,,2.61,,,,499.0,,,,,6.54,
피자_불고기 피자 치즈링 (L),피자,해당없음,272,,16.33,,,2.55,,,,504.0,,,,,6.63,
피자_불고기 피자 치즈링 (R),피자,해당없음,272,,15.54,,,2.7,,,,510.0,,,,,6.08,
피자_불고기 피자 치즈캡 (L),피자,해당없음,260,,12.67,,,5.1,,,,465.0,,,,,3.39,
피자_불고기 피자 치즈캡 (R),피자,해당없음,259,,14.19,,,3.87,,,,523.0,,,,,4.52,
피자_불고기 피자 치즈크러스트 (L),피자,해당없음,233,,14.29,,,2.38,,,,375.0,,,,,3.81,
피자_불고기 피자 치즈크러스트 (R),피자,해당없음,233,,14.29,,,2.04,,,,373.0,,,,,3.67,
피자_불고기 피자 팬 (L),피자,해당없음,241,,14.04,,,2.63,,,,362.0,,,,,4.04,
피자_불고기 피자 팬 (R),피자,해당없음,241,,13.79,,,2.3,,,,354.0,,,,,3.79,
피자_불고기 피자 흑미스크린 (L),피자,해당없음,233,,14.15,,,3.77,,,,362.0,,,,,3.96,
피자_불고기 피자 흑미스크린 (R),피자,해당없음,227,,13.33,,,4.0,,,,349.0,,,,,4.0,
피자_불고기 피자 흑미스크린치즈크러스트 (L),피자,해당없음,225,,14.41,,,4.24,,,,377.0,,,,,3.81,
피자_불고기 피자 흑미스크린치즈크러스트 (R),피자,해당없음,219,,13.95,,,3.49,,,,372.0,,,,,3.84,
피자_불고기 피자,피자,해당없음,250,,12.53,,,6.51,,,,470.0,,,,,2.9,
피자_불고기 피자,피자,해당없음,229,,13.0,,,4.0,,,,424.0,,,,,5.0,
피자_불고기 피자,피자,해당없음,255,,11.92,10.88,19.69,0.52,,,,234.0,,,,0.0,3.63,0.1
피자_불고기 피자,피자,해당없음,247,,14.04,8.43,28.65,3.93,,,,337.0,,,,5.06,4.49,0.0
피자_불그닭 피자 (L),피자,해당없음,241,,14.62,,,4.69,,,,392.0,,,,,4.77,
피자_불그닭 피자 (R),피자,해당없음,241,,14.84,,,4.69,,,,394.0,,,,,4.77,
피자_불금 피자 (L),피자,해당없음,263,,13.95,,,5.43,,,,357.0,,,,,3.88,
피자_불닭바베큐 피자 밀도우 (L),피자,해당없음,114,,8.93,,,1.66,,,,201.0,,,,,2.83,
피자_불닭바베큐 피자 밀도우 (R),피자,해당없음,76,,5.97,,,1.12,,,,134.0,,,,,1.9,
피자_불닭바베큐 피자 씬도우 (L),피자,해당없음,114,,8.95,,,1.68,,,,201.0,,,,,2.83,
피자_불닭바베큐 피자 씬도우 (R),피자,해당없음,76,,5.96,,,1.12,,,,134.0,,,,,1.88,
피자_불닭쉬림프 피자 밀도우 (L),피자,해당없음,104,,8.6,,,2.14,,,,203.0,,,,,2.05,
피자_불닭쉬림프 피자 밀도우 (R),피자,해당없음,69,,5.74,,,1.44,,,,135.0,,,,,1.37,
피자_불닭쉬림프 피자 씬도우 (L),피자,해당없음,104,,8.6,,,2.16,,,,203.0,,,,,2.04,
피자_불닭쉬림프 피자 씬도우 (R),피자,해당없음,69,,5.73,,,1.44,,,,135.0,,,,,1.36,
피자_불닭 피자 (L),피자,해당없음,244,,15.53,,,8.83,,,,471.0,,,,,3.36,
피자_불닭 피자 (L),피자,해당없음,228,,12.5,,,1.39,,,,340.0,,,,,3.75,
피자_불닭 피자 (L),피자,해당없음,246,,14.92,,,5.43,,,,468.0,,,,,3.15,
피자_불닭핫치킨 피자 (L),피자,해당없음,225,,15.18,,,4.9,,,,512.0,,,,,4.36,
피자_불사조쉬림프 피자 (L),피자,해당없음,231,,14.44,,,4.02,,,,370.0,,,,,3.53,
피자_브로스페셜콤비 피자 (L),피자,해당없음,279,,15.0,,,3.0,,,,455.0,,,,,3.0,
피자_브루클린스테이크 피자,피자,해당없음,125,,6.17,,,3.7,,,,201.0,,,,,2.04,
피자_블랙 페퍼 폭탄 피자,피자,해당없음,252,,13.66,,,6.23,,,,565.0,,,,,3.34,
피자_블랙소세지핫도그 피자,피자,해당없음,256,,12.13,,,4.73,,,,501.0,,,,,5.38,
피자_블랙앵거스 스테이크 피자 오리지널 (L),피자,해당없음,242,,12.0,8.54,29.26,4.0,,,,422.0,,,,26.51,4.0,0.19
피자_블랙앵거스 스테이크 피자 트리플치즈버스트 엣지 (L),피자,해당없음,239,,11.18,,,6.83,,,,448.0,,,,,4.97,
피자_블랙청양페퍼로니 피자,피자,해당없음,279,,18.52,,,1.49,,,,467.0,,,,,4.27,
피자_블랙타이거슈림프 피자 오리지널 (L),피자,해당없음,234,,11.0,6.94,31.61,3.0,,,,532.0,,,,25.4,3.0,0.15
피자_블랙타이거슈림프 피자 트리플치즈버스트 엣지 (L),피자,해당없음,241,,12.0,,,5.33,,,,488.0,,,,,4.67,
피자_블록버스터4 피자 더블치즈 엣지 오리지널 (L),피자,해당없음,237,,12.5,,,3.13,,,,486.0,,,,,5.0,
피자_비프갈릭 피자 (L),피자,해당없음,262,,13.62,8.67,24.7,5.63,,,,370.0,,,,19.69,4.42,0.21
피자_비프퀘사디아 피자,피자,해당없음,264,,12.38,8.91,33.17,3.96,,,,396.0,,,,10.89,4.46,0.0
피자_비프홀리데이 피자(L),피자,해당없음,285,,13.0,,,4.0,,,,488.0,,,,,6.0,
피자_빅포 피자 (L),피자,해당없음,94,,3.69,,,1.89,,,,142.0,,,,,2.3,
피자_빠새 피자 (L),피자,해당없음,278,,10.15,,,3.75,,,,273.0,,,,,3.41,
피자_뿜뿜불고기 피자,피자,해당없음,303,,12.69,,,4.37,,,,493.0,,,,,7.31,
피자_사대천왕 피자 (L),피자,해당없음,329,,15.0,,,3.0,,,,388.0,,,,,8.0,
피자_사대천왕 피자 (L),피자,해당없음,250,,13.67,,,3.6,,,,366.0,,,,,3.6,
피자_사장의실수 피자 (L),피자,해당없음,279,,15.44,,,1.88,,,,328.0,,,,,6.31,
피자_사장의실수 피자 (R),피자,해당없음,279,,15.23,,,1.92,,,,328.0,,,,,6.29,
피자_살치스테이크 피자 밀도우 (L),피자,해당없음,111,,9.06,,,2.07,,,,189.0,,,,,2.8,
피자_살치스테이크 피자 밀도우 (R),피자,해당없음,74,,6.04,,,1.37,,,,126.0,,,,,1.85,
피자_살치스테이크 피자 씬도우 (L),피자,해당없음,111,,9.05,,,2.05,,,,189.0,,,,,2.81,
피자_살치스테이크 피자 씬도우 (R),피자,해당없음,74,,6.03,,,1.37,,,,126.0,,,,,1.87,
피자_상큼하와이안 피자 (L),피자,해당없음,165,,7.69,,,3.91,,,,242.0,,,,,1.44,
피자_새우세보래 피자 씬 (L),피자,해당없음,248,,10.66,,,2.46,,,,487.0,,,,,5.16,
피자_새우세보래 피자 씬 (R),피자,해당없음,246,,10.1,,,2.02,,,,486.0,,,,,5.25,
피자_새우천왕 피자 골드 (L),피자,해당없음,223,,12.29,,,3.47,,,,433.0,,,,,4.21,
피자_새우천왕 피자 골드 (R),피자,해당없음,226,,11.76,,,5.88,,,,414.0,,,,,4.9,
피자_새우천왕 피자 노엣지 오리진 (L),피자,해당없음,217,,12.5,,,2.73,,,,439.0,,,,,3.3,
피자_새우천왕 피자 노엣지 오리진 (R),피자,해당없음,247,,12.5,,,5.68,,,,422.0,,,,,3.98,
피자_새우천왕 피자 에그타르트 (L),피자,해당없음,228,,11.42,,,5.17,,,,389.0,,,,,4.35,
피자_새우천왕 피자 에그타르트 (R),피자,해당없음,226,,10.78,,,7.84,,,,371.0,,,,,4.9,
피자_새우천왕 피자 치즈캡 (L),피자,해당없음,222,,13.59,,,2.45,,,,463.0,,,,,4.06,
피자_새우천왕 피자 치즈캡 (R),피자,해당없음,250,,13.5,,,5.0,,,,452.0,,,,,5.0,
피자_새우천왕 피자 크림치즈 (L),피자,해당없음,224,,11.26,,,4.03,,,,403.0,,,,,4.54,
피자_새우천왕 피자 크림치즈 (R),피자,해당없음,223,,11.43,,,6.67,,,,389.0,,,,,5.71,
피자_새우콤비네이션 피자 (L),피자,해당없음,239,,5.32,,,2.53,,,,206.0,,,,,3.8,
피자_새우파티 피자 골드스윗 (L),피자,해당없음,230,,12.9,,,6.45,,,,479.0,,,,,7.1,
피자_새우파티 피자 골드스윗 (R),피자,해당없음,241,,12.63,,,7.07,,,,524.0,,,,,7.58,
피자_새우파티 피자 리코타링 (L),피자,해당없음,226,,13.19,,,6.25,,,,515.0,,,,,6.94,
피자_새우파티 피자 리코타링 (R),피자,해당없음,240,,13.19,,,7.14,,,,577.0,,,,,7.69,
피자_새우파티 피자 석쇠 (L),피자,해당없음,217,,12.88,,,6.06,,,,498.0,,,,,6.06,
피자_새우파티 피자 석쇠 (R),피자,해당없음,231,,12.96,,,6.79,,,,564.0,,,,,6.79,
피자_새우파티 피자 씬도우 (L),피자,해당없음,253,,11.52,,,3.66,,,,536.0,,,,,5.76,
피자_새우파티 피자 씬도우 (R),피자,해당없음,249,,12.12,,,3.03,,,,552.0,,,,,5.3,
피자_새우파티 피자 치즈링 (L),피자,해당없음,219,,13.61,,,5.44,,,,533.0,,,,,6.12,
피자_새우파티 피자 치즈링 (R),피자,해당없음,232,,13.9,,,5.88,,,,602.0,,,,,6.95,
피자_새우 피자 (L),피자,해당없음,303,,6.38,,,3.83,,,,397.0,,,,,0.96,
피자_샘스테이크 피자 골드스윗 (L),피자,해당없음,280,,14.38,,,7.19,,,,245.0,,,,,5.88,
피자_샘스테이크 피자 리코타링 (L),피자,해당없음,280,,14.79,,,7.04,,,,264.0,,,,,5.63,
피자_샘스테이크 피자 리코타링 (R),피자,해당없음,281,,15.26,,,7.37,,,,273.0,,,,,5.79,
피자_샘스테이크 피자 석쇠 (R),피자,해당없음,277,,15.29,,,7.06,,,,225.0,,,,,4.71,
피자_샘스테이크 피자 씬도우 (L),피자,해당없음,278,,13.37,,,6.98,,,,405.0,,,,,6.4,
피자_샘스테이크 피자 씬도우 (R),피자,해당없음,263,,13.08,,,7.69,,,,398.0,,,,,6.15,
피자_샘스테이크 피자 치즈링 (L),피자,해당없음,274,,15.28,,,6.25,,,,290.0,,,,,4.86,
피자_샘스테이크 피자 치즈링 (R),피자,해당없음,272,,15.9,,,6.15,,,,305.0,,,,,5.13,
피자_세뇨리따 피자 (L),피자,해당없음,188,,10.79,,,4.26,,,,493.0,,,,,2.44,
피자_세뇨리따 피자 (M),피자,해당없음,179,,10.92,,,4.39,,,,491.0,,,,,2.24,
피자_소고기로제스테이크커리 피자 (L),피자,해당없음,275,,18.0,,,2.0,,,,427.0,,,,,5.0,
피자_소베페 피자 (L),피자,해당없음,279,,15.94,,,2.44,,,,563.0,,,,,5.9,
피자_소세지 피자 (L),피자,해당없음,305,,7.79,,,3.63,,,,419.0,,,,,2.21,
피자_소시지 피자 (XL),피자,해당없음,218,,13.5,,,3.71,,,,372.0,,,,,3.63,
피자_소프트포테이토무스 피자 밀도우 (L),피자,해당없음,107,,4.88,,,0.84,,,,226.0,,,,,1.72,
피자_소프트포테이토무스 피자 밀도우 (R),피자,해당없음,71,,3.26,,,0.58,,,,151.0,,,,,1.16,
피자_소프트포테이토무스 피자 씬도우 (L),피자,해당없음,107,,4.89,,,0.85,,,,226.0,,,,,1.74,
피자_소프트포테이토무스 피자 씬도우 (R),피자,해당없음,71,,3.26,,,0.57,,,,151.0,,,,,1.16,
피자_수제불고기 피자 밀도우 (L),피자,해당없음,107,,7.37,,,3.58,,,,281.0,,,,,3.16,
피자_수제불고기 피자 밀도우 (R),피자,해당없음,71,,4.91,,,2.38,,,,184.0,,,,,2.09,
피자_수제불고기 피자 씬도우 (L),피자,해당없음,107,,7.35,,,3.57,,,,281.0,,,,,3.14,
피자_수제불고기 피자 씬도우 (R),피자,해당없음,71,,4.89,,,2.37,,,,187.0,,,,,2.11,
피자_수퍼슈프림 피자 리치골드(L),피자,해당없음,252,,12.12,,,3.59,,,,485.0,,,,,5.13,
피자_수퍼슈프림 피자 리치골드(M),피자,해당없음,260,,12.54,,,4.05,,,,464.0,,,,,5.48,
피자_수퍼슈프림 피자 치즈크러스트 (L),피자,해당없음,245,,12.84,,,2.13,,,,507.0,,,,,4.98,
피자_수퍼슈프림 피자 치즈크러스트 (M),피자,해당없음,251,,13.71,,,1.95,,,,524.0,,,,,5.66,
피자_수퍼수프림 피자 (L),피자,해당없음,288,,11.11,,,4.76,,,,154.0,,,,,6.35,
피자_수퍼슈프림 피자 (L),피자,해당없음,224,,11.9,,,4.7,,,,452.0,,,,,2.73,
피자_수퍼슈프림 피자 (M),피자,해당없음,217,,11.78,,,4.36,,,,451.0,,,,,2.63,
피자_수퍼파파스 피자 (F),피자,해당없음,240,,10.69,,,3.82,,,,529.0,,,,,3.82,
피자_수퍼파파스 피자 (L),피자,해당없음,240,,10.77,,,4.1,,,,528.0,,,,,4.1,
피자_수퍼파파스 피자 (P),피자,해당없음,241,,11.28,,,3.76,,,,529.0,,,,,3.76,
피자_수퍼파파스 피자 (R),피자,해당없음,241,,11.19,,,4.2,,,,531.0,,,,,4.2,
피자_순삭포테이토 피자,피자,해당없음,348,,10.28,,,2.36,,,,351.0,,,,,8.06,
피자_쉬림드보니토 피자 (L),피자,해당없음,235,,15.56,,,3.11,,,,602.0,,,,,5.41,
피자_쉬림드보니토 피자 (R),피자,해당없음,236,,15.63,,,3.13,,,,604.0,,,,,5.47,
피자_쉬림프&핫치킨골드 피자 (L),피자,해당없음,235,,13.91,,,1.74,,,,470.0,,,,,4.35,
피자_쉬림프갈릭스노윙 피자,피자,해당없음,244,,14.18,,,3.88,,,,294.0,,,,,4.17,
피자_쉬림프골드 피자 (L),피자,해당없음,259,,12.45,,,9.36,,,,506.0,,,,,5.93,
피자_쉬림프 피자 골드 (L),피자,해당없음,241,,10.69,,,5.12,,,,466.0,,,,,3.78,
피자_쉬림프골드 피자 (L),피자,해당없음,291,,14.57,,,4.32,,,,648.0,,,,,4.19,
피자_쉬림프골드 피자 밀스크린 (L),피자,해당없음,247,,12.98,,,2.29,,,,444.0,,,,,4.66,
피자_쉬림프골드 피자 밀스크린 (R),피자,해당없음,290,,17.71,,,3.13,,,,535.0,,,,,6.35,
피자_쉬림프골드 피자 백미스크린 (L),피자,해당없음,243,,12.6,,,4.72,,,,433.0,,,,,4.72,
피자_쉬림프골드 피자 백미스크린 (R),피자,해당없음,287,,17.2,,,5.38,,,,531.0,,,,,6.56,
피자_쉬림프골드 피자 씬 (L),피자,해당없음,250,,13.73,,,2.94,,,,371.0,,,,,6.86,
피자_쉬림프골드 피자 씬 (R),피자,해당없음,306,,18.99,,,3.8,,,,489.0,,,,,8.73,
피자_쉬림프골드 피자 흑미스크린 (L),피자,해당없음,239,,12.6,,,3.94,,,,390.0,,,,,4.8,
피자_쉬림프골드 피자 흑미스크린 (R),피자,해당없음,281,,17.02,,,4.26,,,,485.0,,,,,6.49,
피자_쉬림프골드 피자,피자,해당없음,279,,11.34,,,3.09,,,,442.0,,,,,3.55,
피자_쉬림프디럭스 피자 (L),피자,해당없음,227,,10.87,,,5.07,,,,378.0,,,,,2.75,
피자_쉬림프콤비 피자 (L),피자,해당없음,214,,11.52,,,4.43,,,,430.0,,,,,2.48,
피자_쉬림프콤비 피자 (M),피자,해당없음,205,,11.2,,,4.73,,,,396.0,,,,,2.43,
피자_쉬림프 피자 (L),피자,해당없음,224,,13.98,,,9.25,,,,490.0,,,,,3.0,
피자_쉬림프 피자 (XL),피자,해당없음,116,,7.89,,,1.67,,,,148.0,,,,,2.59,
피자_쉬림프 피자 골드 (R),피자,해당없음,229,,12.3,,,5.35,,,,403.0,,,,,4.81,
피자_쉬림프 피자 에그타르트 (L),피자,해당없음,238,,11.02,,,6.78,,,,396.0,,,,,5.08,
피자_쉬림프 피자 에그타르트 (R),피자,해당없음,236,,11.23,,,7.49,,,,356.0,,,,,4.81,
피자_쉬림프 피자 오리진 (L),피자,해당없음,226,,11.76,,,4.9,,,,449.0,,,,,3.92,
피자_쉬림프 피자 오리진 (R),피자,해당없음,225,,12.5,,,5.0,,,,406.0,,,,,3.75,
피자_쉬림프 피자 치즈캡 (L),피자,해당없음,232,,13.16,,,4.39,,,,474.0,,,,,4.39,
피자_쉬림프 피자 치즈캡 (R),피자,해당없음,230,,14.13,,,4.35,,,,441.0,,,,,4.89,
피자_쉬림프 피자 크림치즈 (L),피자,해당없음,232,,10.57,,,5.69,,,,409.0,,,,,4.88,
피자_쉬림프 피자 크림치즈 (R),피자,해당없음,231,,11.34,,,6.19,,,,373.0,,,,,5.15,
피자_슈퍼디럭스 피자 나폴리 (L),피자,해당없음,226,,11.55,10.34,21.7,2.37,,,,503.0,,,,24.51,4.46,0.17
피자_슈퍼디럭스 피자 슈퍼시드함유도우 (M),피자,해당없음,228,,10.46,,,3.92,,,,406.0,,,,,3.92,
피자_슈퍼디럭스 피자 씬 (L),피자,해당없음,245,,12.09,14.09,17.16,2.66,,,,546.0,,,,28.09,6.63,0.22
피자_슈퍼슈프림 피자 나폴리 (L),피자,해당없음,211,,10.74,8.86,22.09,3.48,,,,466.0,,,,20.66,4.08,0.17
피자_슈퍼슈프림 피자 슈퍼시드함유도우 (M),피자,해당없음,226,,10.3,,,6.06,,,,381.0,,,,,3.03,
피자_슈퍼슈프림 피자 더블치즈 엣지 오리지널 (M),피자,해당없음,224,,12.44,,,2.59,,,,304.0,,,,,4.66,
피자_슈퍼슈프림 피자 치즈크러스트 (R),피자,해당없음,237,,11.7,,,2.13,,,,410.0,,,,,3.4,
피자_슈퍼슈프림 피자 (L),피자,해당없음,266,,15.15,,,2.13,,,,354.0,,,,,5.06,
피자_슈퍼슈프림 피자 (L),피자,해당없음,324,,7.17,,,3.7,,,,425.0,,,,,1.61,
피자_슈퍼슈프림 피자 (L),피자,해당없음,263,,12.69,,,5.22,,,,322.0,,,,,3.66,
피자_슈퍼슈프림 피자 (L),피자,해당없음,266,,12.26,8.64,28.78,5.33,,,,389.0,,,,21.67,5.0,0.16
피자_슈퍼슈프림 피자 고구마크러스트 (L),피자,해당없음,245,,11.57,,,4.13,,,,370.0,,,,,3.55,
피자_슈퍼슈프림 피자 고구마크러스트 (R),피자,해당없음,243,,10.87,,,4.35,,,,366.0,,,,,3.37,
피자_슈퍼슈프림 피자 라이스골드 (F),피자,해당없음,257,,16.24,,,3.34,,,,171.0,,,,,4.23,
피자_슈퍼슈프림 피자 라이스골드 (L),피자,해당없음,273,,15.96,,,2.43,,,,167.0,,,,,4.86,
피자_슈퍼슈프림 피자 라이스골드 (R),피자,해당없음,278,,16.35,,,2.37,,,,161.0,,,,,4.81,
피자_슈퍼슈프림 피자 라이스바이트 (F),피자,해당없음,264,,15.06,,,2.67,,,,217.0,,,,,3.9,
피자_슈퍼슈프림 피자 라이스바이트 (L),피자,해당없음,275,,15.58,,,3.07,,,,131.0,,,,,2.04,
피자_슈퍼슈프림 피자 밀스크린 (L),피자,해당없음,253,,12.5,,,1.92,,,,475.0,,,,,3.85,
피자_슈퍼슈프림 피자 밀스크린 (R),피자,해당없음,247,,10.96,,,2.74,,,,464.0,,,,,3.84,
피자_슈퍼슈프림 피자 밀스크린고구마크러스트 (L),피자,해당없음,247,,11.21,,,4.31,,,,436.0,,,,,3.53,
피자_슈퍼슈프림 피자 밀스크린고구마크러스트 (R),피자,해당없음,243,,10.98,,,3.66,,,,426.0,,,,,3.54,
피자_슈퍼슈프림 피자 밀스크린체다크림크러스트 (L),피자,해당없음,248,,11.97,,,4.27,,,,515.0,,,,,3.68,
피자_슈퍼슈프림 피자 밀스크린체다크림크러스트 (R),피자,해당없음,243,,10.84,,,4.82,,,,513.0,,,,,3.61,
피자_슈퍼슈프림 피자 밀스크린치즈크러스트 (L),피자,해당없음,243,,12.07,,,2.59,,,,478.0,,,,,3.62,
피자_슈퍼슈프림 피자 밀스크린치즈크러스트 (R),피자,해당없음,236,,11.9,,,2.38,,,,473.0,,,,,3.57,
피자_슈퍼슈프림 피자 백미스크린 (L),피자,해당없음,247,,12.0,,,5.0,,,,464.0,,,,,3.8,
피자_슈퍼슈프림 피자 백미스크린 (R),피자,해당없음,241,,11.43,,,5.71,,,,456.0,,,,,3.86,
피자_슈퍼슈프림 피자 백미스크린치즈크러스트 (L),피자,해당없음,202,,12.5,,,5.36,,,,468.0,,,,,3.66,
피자_슈퍼슈프림 피자 백미스크린치즈크러스트 (R),피자,해당없음,228,,12.2,,,4.88,,,,459.0,,,,,3.66,
피자_슈퍼슈프림 피자 석쇠 (F),피자,해당없음,261,,15.99,,,3.01,,,,181.0,,,,,2.78,
피자_슈퍼슈프림 피자 석쇠 (L),피자,해당없음,267,,16.15,,,2.98,,,,192.0,,,,,2.87,
피자_슈퍼슈프림 피자 석쇠 (R),피자,해당없음,267,,16.11,,,2.93,,,,190.0,,,,,2.81,
피자_슈퍼슈프림 피자 씬 (L),피자,해당없음,255,,13.16,,,2.63,,,,384.0,,,,,6.45,
피자_슈퍼슈프림 피자 씬 (R),피자,해당없음,257,,12.5,,,1.79,,,,377.0,,,,,6.25,
피자_슈퍼슈프림 피자 체다크림크러스트 (L),피자,해당없음,245,,11.57,,,4.96,,,,450.0,,,,,3.72,
피자_슈퍼슈프림 피자 체다크림크러스트 (R),피자,해당없음,244,,10.75,,,4.3,,,,445.0,,,,,3.44,
피자_슈퍼슈프림 피자 치즈크러스트 (F),피자,해당없음,262,,16.51,,,2.7,,,,185.0,,,,,3.63,
피자_슈퍼슈프림 피자 치즈크러스트 (L),피자,해당없음,273,,15.96,,,2.43,,,,167.0,,,,,4.86,
피자_슈퍼슈프림 피자 치즈크러스트 (L),피자,해당없음,238,,12.4,,,2.48,,,,411.0,,,,,3.64,
피자_슈퍼슈프림 피자 치즈크러스트 (R),피자,해당없음,279,,17.17,,,2.58,,,,175.0,,,,,3.72,
피자_슈퍼슈프림 피자 팬 (F),피자,해당없음,269,,16.21,,,3.05,,,,171.0,,,,,2.62,
피자_슈퍼슈프림 피자 팬(L),피자,해당없음,272,,16.25,,,3.0,,,,183.0,,,,,2.72,
피자_슈퍼슈프림 피자 팬 (L),피자,해당없음,247,,11.93,,,2.75,,,,400.0,,,,,3.85,
피자_슈퍼슈프림 피자 팬 (R),피자,해당없음,273,,16.28,,,2.97,,,,181.0,,,,,2.67,
피자_슈퍼슈프림 피자 팬 (R),피자,해당없음,247,,12.05,,,2.41,,,,394.0,,,,,3.61,
피자_슈퍼슈프림 피자 흑미스크린 (L),피자,해당없음,240,,11.88,,,3.96,,,,404.0,,,,,3.86,
피자_슈퍼슈프림 피자 흑미스크린 (R),피자,해당없음,237,,11.43,,,4.29,,,,401.0,,,,,3.86,
피자_슈퍼슈프림 피자 흑미스크린치즈크러스트 (L),피자,해당없음,230,,12.39,,,3.54,,,,414.0,,,,,3.63,
피자_슈퍼슈프림 피자 흑미스크린치즈크러스트 (R),피자,해당없음,224,,12.2,,,3.66,,,,413.0,,,,,3.66,
피자_슈퍼슈프림 피자,피자,해당없음,233,,10.74,,,5.6,,,,359.0,,,,,2.18,
피자_슈퍼슈프림 피자,피자,해당없음,244,,12.55,,,3.77,,,,458.0,,,,,3.93,
피자_슈퍼치즈 피자,피자,해당없음,282,,17.64,,,2.78,,,,373.0,,,,,3.88,
피자_슈퍼콤비네이션 피자 골드스윗 (G),피자,해당없음,293,,15.43,,,3.7,,,,419.0,,,,,6.79,
피자_슈퍼콤비네이션 피자 골드스윗 (L),피자,해당없음,292,,15.45,,,3.64,,,,417.0,,,,,7.27,
