식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
미역국_대합,미역국,대합,11,96.0,1.23,0.45,0.56,0.01,0.8,37.0,5.17,232.0,2.0,0.0,0.52,3.59,0.16,0.01
미역국_새우,미역국,새우,16,96.5,1.09,0.46,1.83,0.0,0.7,9.0,0.39,5.0,2.0,0.0,1.05,11.31,0.03,0.0
미역국_소고기,미역국,소고기,13,96.5,1.86,0.26,0.82,0.52,0.6,18.0,0.43,196.0,3.0,0.0,0.0,4.24,0.04,0.0
삼계탕,삼계탕,해당없음,101,80.0,10.68,4.8,3.84,0.45,1.6,14.0,0.43,82.0,8.0,0.0,0.0,48.19,1.29,0.03
육개장,육개장,해당없음,30,93.0,3.68,0.99,1.49,0.76,1.2,17.0,0.56,201.0,2.0,0.0,0.0,10.86,0.17,0.0
육개장_닭고기,육개장,닭고기,20,94.7,2.74,0.42,1.41,0.57,0.7,16.0,0.19,167.0,1.0,0.0,0.1,9.55,0.15,0.0
콩나물국,콩나물국,해당없음,6,97.9,0.74,0.09,0.61,0.16,0.4,9.0,0.08,219.0,1.0,0.0,0.22,0.73,0.03,0.0
감자탕,감자탕,해당없음,71,86.2,6.31,4.06,2.27,0.0,2.4,38.0,1.06,328.0,33.0,0.0,2.35,38.53,1.16,0.01
김치찌개_꽁치,김치찌개,꽁치,89,83.0,7.14,5.18,3.54,0.7,2.6,50.0,0.46,249.0,19.0,1.61,0.0,24.25,0.93,0.72
김치찌개_돼지고기,김치찌개,돼지고기,45,91.1,4.25,2.71,1.04,0.05,1.5,12.0,0.49,207.0,2.0,0.0,0.0,7.11,0.48,0.01
김치찌개_어묵,김치찌개,어묵,38,90.1,1.82,0.59,6.31,1.6,1.3,20.0,0.25,256.0,11.0,0.0,0.02,2.51,0.15,0.0
김치찌개_참치,김치찌개,참치,51,89.4,3.59,2.82,2.9,0.15,1.6,17.0,0.39,264.0,5.0,0.0,0.89,6.54,0.26,0.03
김치찌개_햄,김치찌개,햄,31,92.5,1.47,1.39,3.17,0.04,1.0,12.0,0.08,445.0,2.0,0.0,1.05,4.39,0.45,0.01
동태찌개,동태찌개,해당없음,44,89.6,6.11,1.37,1.72,0.13,1.8,33.0,0.46,273.0,3.0,0.0,0.0,26.68,0.2,0.01
된장찌개,된장찌개,해당없음,46,89.3,3.38,1.63,4.44,0.0,1.6,21.0,0.7,318.0,5.0,0.0,0.0,0.0,0.27,0.0
된장찌개_냉이,된장찌개,냉이,19,94.9,1.17,0.31,2.91,0.55,1.3,28.0,0.79,174.0,11.0,0.0,0.0,0.0,0.04,0.0
된장찌개_달래,된장찌개,달래,35,90.3,3.18,0.79,3.81,0.41,1.6,22.0,0.85,570.0,4.0,0.0,27.13,2.21,0.18,0.0
된장찌개_두부,된장찌개,두부,41,90.7,3.25,1.96,2.56,0.99,0.9,22.0,0.74,478.0,0.0,0.0,0.0,0.0,0.28,0.0
된장찌개_바지락,된장찌개,바지락,23,93.8,2.88,0.72,1.18,0.56,1.1,11.0,0.25,406.0,3.0,0.0,0.47,3.81,0.17,0.0
매운탕_대구,매운탕,대구,22,93.9,4.49,0.4,0.19,0.0,0.9,51.0,0.17,250.0,3.0,0.0,2.0,19.2,0.15,0.01
매운탕_해물,매운탕,해물,35,90.7,4.85,0.64,2.51,0.45,1.6,25.0,0.43,368.0,16.0,0.0,11.86,47.65,0.18,0.01
순두부찌개_김치,순두부찌개,김치,35,92.6,2.98,1.59,2.17,0.32,1.0,14.0,0.39,151.0,4.0,0.0,0.0,4.6,0.46,0.01
추어탕,추어탕,해당없음,54,89.4,3.24,3.18,3.07,0.0,2.2,135.0,0.82,246.0,26.0,0.0,7.37,15.84,0.31,0.01
갈비찜_소고기,갈비찜,소고기,85,81.2,7.25,3.17,6.95,0.75,2.0,33.0,1.07,272.0,23.0,0.0,0.42,33.38,0.85,0.1
꼬막찜,꼬막찜,해당없음,96,76.0,12.03,2.28,6.97,1.03,2.9,73.0,8.53,736.0,11.0,0.0,14.05,38.3,0.59,0.04
수육_소고기,수육,소고기,166,63.8,28.43,4.94,2.04,0.11,4.7,6.0,3.38,31.0,13.0,0.0,0.0,88.3,1.89,0.26
순대,순대,해당없음,187,56.2,2.75,3.64,35.73,1.39,1.9,17.0,3.33,604.0,1.0,0.0,0.0,26.24,1.12,0.02
족발,족발,해당없음,233,56.2,26.04,13.91,0.93,0.0,2.3,735.0,1.0,345.0,5.0,0.0,0.0,91.72,4.66,0.06
갈비구이_소고기,갈비구이,소고기,241,56.1,25.91,14.55,1.59,0.26,1.8,34.0,3.92,402.0,6.0,0.0,0.87,77.75,5.62,0.6
갈치구이_기름,갈치구이,기름,138,70.6,21.54,5.48,0.6,0.0,6.7,12.0,0.47,297.0,44.0,2.29,0.96,87.96,1.31,0.05
고등어구이_석쇠,고등어구이,석쇠,340,45.9,23.38,25.69,3.79,0.0,2.4,102.0,1.85,126.0,23.0,3.74,2.41,53.09,6.95,0.33
곱창구이_소고기,곱창구이,소고기,184,64.8,14.89,11.73,4.71,1.11,2.1,29.0,1.51,1315.0,20.0,0.0,0.19,196.11,4.11,0.31
떡갈비,떡갈비,해당없음,202,62.4,21.38,11.82,2.46,0.4,1.1,22.0,2.9,404.0,6.0,0.0,0.77,68.04,4.29,0.42
장어구이_고추장,장어구이,고추장,259,55.0,19.82,17.21,6.18,0.44,2.0,165.0,0.72,322.0,686.0,2.4,1.68,131.89,4.68,0.34
조개구이_키조개,조개구이,키조개,130,67.6,17.43,2.07,10.44,3.6,3.9,18.0,1.91,454.0,38.0,0.0,12.44,25.29,0.09,0.0
조기구이,조기구이,해당없음,177,65.3,19.33,10.86,0.44,0.0,0.4,121.0,0.48,1364.0,112.0,0.0,0.0,91.79,3.08,0.12
감자전,감자전,해당없음,133,73.5,1.72,6.54,16.79,1.81,2.0,9.0,0.36,293.0,5.0,0.0,1.51,0.0,0.89,0.05
김치전,김치전,해당없음,134,70.4,5.05,4.2,19.01,4.21,2.4,43.0,0.63,240.0,18.0,0.0,1.47,54.91,0.87,0.04
파전_해물,파전,해물,171,66.7,5.5,8.4,18.29,0.82,1.6,43.0,2.35,300.0,38.0,0.0,0.26,50.72,1.04,0.03
건새우볶음,건새우볶음,해당없음,304,28.1,41.55,12.95,5.4,4.05,7.3,3135.0,4.55,1554.0,0.0,0.0,12.75,387.95,1.75,0.1
떡볶이,떡볶이,해당없음,144,66.3,3.51,2.96,25.96,4.4,1.0,14.0,0.18,391.0,15.0,0.0,1.92,2.34,0.28,0.01
떡볶이_채소,떡볶이,채소,258,37.0,3.12,1.88,57.06,1.97,1.3,14.0,0.24,269.0,20.0,0.0,0.0,0.0,0.39,0.02
라볶이,라볶이,해당없음,134,71.2,2.83,4.71,20.14,0.94,1.9,51.0,0.23,311.0,1.0,0.0,0.0,2.52,1.47,0.03
멸치볶음,멸치볶음,해당없음,276,27.5,39.44,7.08,13.62,11.6,10.1,1051.0,9.66,2606.0,31.0,2.02,3.6,368.7,1.28,0.04
멸치볶음_견과류,멸치볶음,견과류,414,17.7,30.4,24.32,18.36,14.02,9.8,841.0,10.42,1828.0,1.0,0.0,5.32,157.2,3.04,0.02
멸치볶음_꽈리고추,멸치볶음,꽈리고추,253,47.4,23.62,14.08,7.96,6.24,6.0,551.0,8.86,1334.0,14.0,0.0,0.0,147.3,0.16,0.0
멸치볶음_마늘쫑,멸치볶음,마늘쫑,277,32.4,32.4,10.84,12.42,4.26,8.7,1215.0,10.84,2501.0,29.0,0.0,4.8,305.04,1.9,0.06
멸치볶음_풋고추,멸치볶음,풋고추,190,54.0,20.62,6.0,13.3,9.02,4.8,500.0,5.24,1345.0,21.0,1.0,3.58,196.8,1.3,0.04
미역줄기볶음,미역줄기볶음,해당없음,77,86.8,0.96,5.95,4.85,0.55,4.3,63.0,0.34,505.0,2.0,0.0,0.0,0.0,0.89,0.04
어묵볶음,어묵볶음,해당없음,197,57.6,8.41,7.29,24.33,6.31,2.5,43.0,0.69,818.0,9.0,0.39,0.14,16.64,1.32,0.05
어묵볶음_채소,어묵볶음,채소,152,67.8,6.33,6.41,17.2,1.26,2.2,33.0,0.64,632.0,57.0,0.0,1.16,9.36,1.0,0.07
잡채,잡채,해당없음,146,66.3,4.71,3.3,24.26,0.73,3.7,36.0,1.65,360.0,35.0,0.0,0.0,22.66,0.55,0.07
잡채_어묵,잡채,어묵,148,66.4,2.34,3.78,26.13,1.5,1.7,34.0,1.14,429.0,12.0,0.0,0.0,3.83,0.64,0.03
잡채_콩나물,잡채,콩나물,67,82.6,1.93,0.97,12.55,9.37,3.6,36.0,0.41,619.0,29.0,0.0,0.0,0.0,0.12,0.22
감자조림,감자조림,해당없음,114,74.1,2.4,3.52,18.1,7.68,1.8,18.0,0.46,487.0,61.0,0.0,0.7,0.0,0.42,0.02
고등어조림,고등어조림,해당없음,141,73.9,11.25,8.84,4.1,3.39,2.5,49.0,0.81,390.0,28.0,0.76,1.75,30.05,2.14,0.05
꽁치조림,꽁치조림,해당없음,244,59.6,15.52,17.87,5.14,4.05,3.6,78.0,1.29,350.0,12.0,2.57,2.72,32.81,3.52,2.48
닭볶음탕,닭볶음탕,해당없음,111,74.7,11.91,3.22,8.52,0.42,1.5,20.0,0.64,376.0,30.0,0.0,0.66,42.44,1.19,0.03
두부조림,두부조림,해당없음,143,75.0,9.64,9.66,4.4,3.64,0.8,53.0,1.48,161.0,8.0,0.0,0.64,0.0,1.36,0.02
땅콩조림,땅콩조림,해당없음,483,21.7,18.75,36.4,19.95,9.85,10.3,88.0,1.6,574.0,0.0,0.0,2.0,0.0,5.8,0.05
연근조림,연근조림,해당없음,174,60.3,2.68,5.1,29.42,2.78,2.6,33.0,1.54,661.0,0.0,0.0,5.3,0.0,0.64,0.02
우엉조림,우엉조림,해당없음,188,53.0,4.8,3.33,34.8,28.43,5.8,75.0,1.13,1174.0,0.0,0.0,4.3,0.0,0.53,0.07
장조림_달걀,장조림,달걀,138,72.4,9.85,7.12,8.67,6.87,1.5,38.0,1.45,628.0,148.0,0.0,0.16,246.68,2.07,0.03
장조림_메추리알,장조림,메추리알,203,63.6,14.25,13.41,6.3,3.48,0.8,74.0,2.93,755.0,194.0,0.74,1.3,389.45,4.18,0.08
장조림_소고기,장조림,소고기,69,82.1,10.41,0.86,4.84,1.0,0.8,8.0,1.11,543.0,2.0,0.0,0.7,20.21,0.43,0.03
