식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
주먹밥_소고기,주먹밥,소고기,178,57.3,4.76,2.18,34.73,0.23,1.5,9.0,0.29,357.0,0.0,0.0,0.0,6.52,0.65,0.02
짬뽕밥,짬뽕밥,해당없음,72,82.8,3.2,1.4,11.65,1.34,1.4,13.0,0.67,234.0,13.0,0.0,2.69,15.78,0.23,0.01
차조밥,차조밥,해당없음,157,61.5,2.84,0.65,34.86,0.04,1.8,4.0,0.32,1.0,0.0,0.0,0.8,0.0,0.14,0.0
찰밥,찰밥,해당없음,153,61.4,4.39,0.18,33.56,0.49,2.9,11.0,0.22,3.0,0.0,0.0,0.92,0.0,0.08,0.0
초밥_모듬,초밥,모듬,160,61.2,9.66,1.59,26.72,1.4,2.0,14.0,0.07,142.0,1.0,0.61,0.0,19.43,0.41,0.02
초밥_유부초밥,초밥,유부초밥,194,57.4,5.78,5.77,29.82,1.99,2.6,46.0,0.59,386.0,23.0,0.0,4.25,3.12,0.69,0.02
카레라이스,카레라이스,해당없음,108,73.9,3.11,1.4,20.74,0.16,0.5,12.0,0.3,210.0,13.0,0.0,3.16,2.79,0.44,0.04
콩나물밥,콩나물밥,해당없음,123,70.1,4.68,1.58,22.39,0.04,1.9,16.0,0.52,272.0,4.0,0.0,0.0,3.14,0.42,0.01
콩밥_검정콩,콩밥,검정콩,165,59.7,4.53,1.12,34.3,0.0,1.1,13.0,0.38,3.0,1.0,0.0,0.0,0.0,0.14,0.0
콩밥_완두콩,콩밥,완두콩,138,64.6,2.95,0.16,31.25,0.0,1.9,44.0,0.34,295.0,1.0,0.0,0.03,0.0,0.1,0.0
하이라이스,하이라이스,해당없음,112,72.7,4.02,1.13,21.34,0.0,0.9,10.0,0.07,246.0,6.0,0.0,1.0,2.83,0.13,0.0
현미밥,현미밥,해당없음,172,57.2,3.1,0.47,38.9,0.0,2.0,5.0,0.21,2.0,0.0,0.0,0.8,0.0,0.18,0.0
회덮밥_모듬,회덮밥,모듬,145,68.0,9.1,4.15,17.76,3.07,1.2,13.0,0.23,155.0,36.0,0.46,3.0,27.38,0.85,0.03
가래떡,가래떡,해당없음,195,51.1,3.92,0.51,43.73,0.0,0.6,5.0,0.25,241.0,0.0,0.0,0.0,0.0,0.19,0.0
경단_깨,경단,깨,240,47.3,6.28,6.72,38.58,0.61,4.6,178.0,0.84,203.0,0.0,0.0,0.0,0.0,0.99,0.0
꿀떡,꿀떡,해당없음,228,44.2,3.74,1.73,49.48,0.29,0.8,15.0,0.36,275.0,0.0,0.0,0.0,0.0,0.3,0.0
모듬찰떡,모듬찰떡,해당없음,218,47.4,6.78,2.44,42.27,2.98,3.8,19.0,0.75,188.0,1.0,0.0,1.85,0.0,0.28,0.0
백설기,백설기,해당없음,230,43.8,3.71,1.45,50.4,0.11,2.0,6.0,0.08,211.0,0.0,0.0,0.0,0.0,0.12,0.0
송편_깨,송편,깨,219,48.3,4.65,3.23,42.83,1.98,4.4,96.0,0.46,260.0,0.0,0.0,0.0,0.0,0.62,0.0
시루떡,시루떡,해당없음,224,45.3,3.77,1.85,48.13,0.04,4.0,14.0,0.66,195.0,0.0,0.0,1.83,0.0,0.11,0.0
약식,약식,해당없음,220,47.2,4.21,2.45,45.24,13.24,2.6,13.0,0.33,221.0,0.0,0.0,0.0,0.0,0.27,0.0
인절미,인절미,해당없음,242,41.0,5.64,2.16,50.07,6.35,2.9,16.0,0.4,297.0,0.0,0.0,2.99,0.0,0.24,0.0
절편_쑥,절편,쑥,192,54.3,7.72,2.42,34.87,0.25,2.0,27.0,0.43,192.0,4.0,0.0,0.0,0.0,0.24,0.0
증편,증편,해당없음,200,50.7,3.17,1.2,44.15,3.19,1.0,10.0,0.1,284.0,0.0,0.0,0.0,0.0,0.15,0.0
찹쌀떡_팥,찹쌀떡,팥,295,29.0,5.06,2.53,62.93,25.95,1.8,17.0,0.41,140.0,0.0,0.0,0.0,0.0,0.13,0.0
도넛_링도넛,도넛,링도넛,515,10.9,7.85,33.17,46.16,11.6,1.2,50.0,1.04,537.0,5.0,0.0,0.0,47.22,4.49,0.25
도넛_찹쌀,도넛,찹쌀,288,32.8,6.0,4.64,55.56,11.04,3.9,21.0,0.76,312.0,0.0,0.0,0.0,0.49,0.64,0.03
마늘빵,마늘빵,해당없음,438,10.6,12.06,17.58,57.94,7.36,4.3,50.0,0.58,519.0,150.0,0.0,2.42,26.68,8.66,0.18
머핀,머핀,해당없음,384,20.0,5.73,13.84,59.15,39.65,1.1,44.0,0.69,411.0,112.0,0.0,0.0,59.16,6.86,0.15
