food_class,대표식품명
간장게장,게장
감자채볶음,감자
곰탕_설렁탕,곰탕
곰탕_설렁탕,설렁탕
김치볶음밥,김치 볶음밥
김치볶음밥,볶음밥
닭갈비,닭볶음(닭갈비)
도토리묵,도토리묵무침
도토리묵,양념 도토리묵
떡국_만두국,떡국
떡국_만두국,만두
떡국_만두국,만두국
보쌈,보쌈김치
불고기,오리불고기
불고기,불고기전골
불고기,돼지불고기
불고기,오징어불고기
불고기,오리 간장불고기
삼겹살,삼겹살구이
삼겹살,삼겹살볶음
삼겹살,주꾸미삼겹살
삼겹살,낙지 삼겹살 볶음
새우볶음밥,볶음밥
애호박볶음,애호박 볶음
양념게장,게장
열무국수,국수
열무국수,무국
유부초밥,초밥
콩자반,콩조림(콩자반)
